district_id,district_name,low_district_name
140,New Delhi,new delhi
3,Nicobar,nicobar
577,Nilgiris,nilgiris
599,Nirmal,nirmal
600,Nizamabad,nizamabad
412,Noney,noney
730,North 24 Parganas,north 24 parganas
146,North Delhi,north delhi
147,North East Delhi,north east delhi
423,North Garo Hills,north garo hills
151,North Goa,north goa
537,North Sikkim,north sikkim
617,North Tripura,north tripura
143,North West Delhi,north west delhi
1,North and Middle Andaman,north and middle andaman
465,Nuapada,nuapada
205,Nuh,nuh
381,Osmanabad,osmanabad
19,Pakke Kessang,pakke kessang
261,Pakur,pakur
308,Palakkad,palakkad
246,Palamu,palamu
564,Palani,palani
394,Palghar,palghar
529,Pali,pali
207,Palwal,palwal
187,Panchkula,panchkula
185,Panchmahal,panchmahal
195,Panipat,panipat
326,Panna,panna
39,Papum Pare,papum pare
573,Paramakudi,paramakudi
385,Parbhani,parbhani
731,Paschim Medinipore,paschim medinipore
161,Patan,patan
300,Pathanamthitta,pathanamthitta
486,Pathankot,pathankot
494,Patiala,patiala
97,Patna,patna
698,Pauri Garhwal,pauri garhwal
601,Peddapalli,peddapalli
